tabla,columna,descripcion,codigo,nombre
OBRE_Resource,EM_Ovjch_Statelimpieza,ListadoEstadosLimpieza,LL,Lista
OBRE_Resource,EM_Ovjch_Statelimpieza,ListadoEstadosLimpieza,ND,No disponible
OBRE_Resource,EM_Ovjch_Statelimpieza,ListadoEstadosLimpieza,DD,Disponible
OBRE_Resource,EM_Ovjch_Statelimpieza,ListadoEstadosLimpieza,RL,Repaso Limpieza
OBRE_Resource,EM_Ovjch_Statelimpieza,ListadoEstadosLimpieza,EC,Estancia
OBRE_Resource,EM_Ovjch_Statelimpieza,ListadoEstadosLimpieza,LC,Limpieza en Curso
OBRE_Resource,EM_Ovjch_Statelimpieza,ListadoEstadosLimpieza,LF,Limpieza Finalizada
opxdes_ficha_tecnica,Acceso,Lista Acceso Peatonal,O,Otro
opxdes_ficha_tecnica,Acceso,Lista Acceso Peatonal,LL,LLano
opxdes_ficha_tecnica,Acceso,Lista Acceso Peatonal,E,Escalera
opxdes_ficha_tecnica,BBQ_Portatil,Barbacoa,car,Carbon
opxdes_ficha_tecnica,BBQ_Portatil,Barbacoa,gas,Gas
opxdes_ficha_tecnica,Clas_Energetica,Clasificación Energética Nueva,C,C
opxdes_ficha_tecnica,Clas_Energetica,Clasificación Energética Nueva,AP,A+
opxdes_ficha_tecnica,Clas_Energetica,Clasificación Energética Nueva,E,E
opxdes_ficha_tecnica,Clas_Energetica,Clasificación Energética Nueva,F,F
opxdes_ficha_tecnica,Clas_Energetica,Clasificación Energética Nueva,G,G
opxdes_ficha_tecnica,Clas_Energetica,Clasificación Energética Nueva,D,D
opxdes_ficha_tecnica,Clas_Energetica,Clasificación Energética Nueva,APP,A++
opxdes_ficha_tecnica,Clas_Energetica,Clasificación Energética Nueva,APPP,A+++
opxdes_ficha_tecnica,Clas_Energetica,Clasificación Energética Nueva,B,B
opxdes_ficha_tecnica,Clas_Energetica,Clasificación Energética Nueva,A,A
opxdes_ficha_tecnica,EM_Ovjch_Acceso_Coche,Lista Acceso Coche,R,Rampa
opxdes_ficha_tecnica,EM_Ovjch_Acceso_Coche,Lista Acceso Coche,LL,LLano
opxdes_ficha_tecnica,EM_Ovjch_Acceso_Coche,Lista Acceso Coche,O,Otro
opxdes_ficha_tecnica,EM_Ovjch_Barbacoa,Lista Tipo Barbacoa,OE,Obra Eléctrica
opxdes_ficha_tecnica,EM_Ovjch_Barbacoa,Lista Tipo Barbacoa,OC,Obra Carbón
